sample,peak,sample number
1069,0,1270
1139,0,1271
1198,0,1272
1245,0,1273
1282,0,1274
1313,0,1275
1343,0,1276
1377,0,1277
1416,0,1278
1460,0,1279
1508,0,1280
1557,0,1281
1602,0,1282
1641,0,1283
1672,0,1284
1693,0,1285
1705,0,1286
1710,0,1287
1709,1,1288
1705,0,1289
1701,0,1290
1697,0,1291
1694,0,1292
1692,0,1293
1692,0,1294
1692,0,1295
1692,0,1296
1692,0,1297
1692,0,1298
1692,0,1299
1693,0,1300
1693,0,1301
1693,0,1302
1693,0,1303
1693,0,1304
1693,0,1305
1694,0,1306
1695,0,1307
1696,0,1308
1697,0,1309
1697,0,1310
1697,0,1311
1697,0,1312
1698,0,1313
1699,0,1314
1700,0,1315
1703,0,1316
1705,0,1317
1708,0,1318
1709,0,1319
1710,0,1320
1711,0,1321
1710,1,1322
1710,0,1323
1710,0,1324
1710,0,1325
1710,0,1326
1711,0,1327
1712,0,1328
1713,0,1329
1714,0,1330
1715,0,1331
1717,0,1332
1719,0,1333
1721,0,1334
1722,0,1335
1724,0,1336
1725,0,1337
1726,0,1338
1727,0,1339
1728,0,1340
1730,0,1341
1731,0,1342
1733,0,1343
1734,0,1344
1736,0,1345
1737,0,1346
1739,0,1347
1742,0,1348
1744,0,1349
1746,0,1350
1749,0,1351
1750,0,1352
1751,0,1353
1751,0,1354
1751,0,1355
1751,0,1356
1752,0,1357
1753,0,1358
1755,0,1359
1758,0,1360
1761,0,1361
1764,0,1362
1767,0,1363
1770,0,1364
1773,0,1365
1775,0,1366
1777,0,1367
1778,0,1368
1777,1,1369
1776,0,1370
1775,0,1371
1773,0,1372
1770,0,1373
1768,0,1374
1767,0,1375
1765,0,1376
1764,0,1377
1763,0,1378
1762,0,1379
1760,0,1380
1758,0,1381
1756,0,1382
1754,0,1383
1750,0,1384
1747,0,1385
1743,0,1386
1738,0,1387
1733,0,1388
1727,0,1389
1722,0,1390
1716,0,1391
1710,0,1392
1705,0,1393
1699,0,1394
1694,0,1395
1689,0,1396
1683,0,1397
1677,0,1398
1669,0,1399
1659,0,1400
1649,0,1401
1637,0,1402
1624,0,1403
1611,0,1404
1598,0,1405
1586,0,1406
1575,0,1407
1565,0,1408
1557,0,1409
1549,0,1410
1543,0,1411
1537,0,1412
1533,0,1413
1529,0,1414
1527,0,1415
1524,0,1416
1521,0,1417
1518,0,1418
1514,0,1419
1509,0,1420
1505,0,1421
1501,0,1422
1499,0,1423
1498,0,1424
1498,0,1425
1500,0,1426
1502,0,1427
1503,0,1428
1504,0,1429
1505,0,1430
1505,0,1431
1505,0,1432
1506,0,1433
1507,0,1434
1508,0,1435
1510,0,1436
1512,0,1437
1514,0,1438
1515,0,1439
1517,0,1440
1518,0,1441
1520,0,1442
1521,0,1443
1523,0,1444
1525,0,1445
1527,0,1446
1529,0,1447
1531,0,1448
1532,0,1449
1533,0,1450
1534,0,1451
1535,0,1452
1536,0,1453
1538,0,1454
1540,0,1455
1542,0,1456
1545,0,1457
1547,0,1458
1548,0,1459
1548,0,1460
1548,0,1461
1547,0,1462
1546,0,1463
1545,0,1464
1546,0,1465
1547,0,1466
1549,0,1467
1550,0,1468
1551,0,1469
1552,0,1470
1552,0,1471
1552,0,1472
1552,0,1473
1553,0,1474
1554,0,1475
1556,0,1476
1557,0,1477
1557,0,1478
1557,0,1479
1556,0,1480
1555,0,1481
1554,0,1482
1554,0,1483
1555,0,1484
1557,0,1485
1559,0,1486
1562,0,1487
1564,0,1488
1565,0,1489
1565,0,1490
1564,0,1491
1562,0,1492
1560,0,1493
1558,0,1494
1557,0,1495
1558,0,1496
1560,0,1497
1563,0,1498
1568,0,1499
1572,0,1500
1576,0,1501
1578,0,1502
1578,0,1503
1577,0,1504
1576,0,1505
1574,0,1506
1572,0,1507
1570,0,1508
1570,0,1509
1570,0,1510
1571,0,1511
1572,0,1512
1573,0,1513
1573,0,1514
1573,0,1515
1572,0,1516
1570,0,1517
1569,0,1518
1568,0,1519
1568,0,1520
1568,0,1521
1570,0,1522
1572,0,1523
1574,0,1524
1576,0,1525
1578,0,1526
1578,0,1527
1578,0,1528
1577,0,1529
1575,0,1530
1574,0,1531
1573,0,1532
1573,0,1533
1573,0,1534
1574,0,1535
1574,0,1536
1575,0,1537
1575,0,1538
1575,0,1539
1575,0,1540
1575,0,1541
1576,0,1542
1577,0,1543
1578,0,1544
1580,0,1545
1582,0,1546
1584,0,1547
1586,0,1548
1587,0,1549
1588,0,1550
1588,0,1551
1588,0,1552
1587,0,1553
1586,0,1554
1585,0,1555
1585,0,1556
1585,0,1557
1585,0,1558
1586,0,1559
1587,0,1560
1587,0,1561
1588,0,1562
1589,0,1563
1591,0,1564
1592,0,1565
1594,0,1566
1595,0,1567
1595,0,1568
1595,0,1569
1595,0,1570
1593,0,1571
1592,0,1572
1590,0,1573
1588,0,1574
1587,0,1575
1587,0,1576
1587,0,1577
1589,0,1578
1590,0,1579
1592,0,1580
1594,0,1581
1596,0,1582
1597,0,1583
1597,0,1584
1597,0,1585
1598,0,1586
1598,0,1587
1599,0,1588
1601,0,1589
1603,0,1590
1605,0,1591
1606,0,1592
1607,0,1593
1607,0,1594
1608,0,1595
1609,0,1596
1610,0,1597
1613,0,1598
1617,0,1599
1621,0,1600
1624,0,1601
1627,0,1602
1628,0,1603
1629,0,1604
1628,1,1605
1627,0,1606
1626,0,1607
1626,0,1608
1626,0,1609
1626,0,1610
1626,0,1611
1626,0,1612
1626,0,1613
1625,0,1614
1626,0,1615
1627,0,1616
1629,0,1617
1634,0,1618
1639,0,1619
1646,0,1620
1653,0,1621
1659,0,1622
1663,0,1623
1666,0,1624
1665,1,1625
1663,0,1626
1658,0,1627
1653,0,1628
1647,0,1629
1642,0,1630
1639,0,1631
1635,0,1632
1632,0,1633
1629,0,1634
1625,0,1635
1619,0,1636
1613,0,1637
1605,0,1638
1598,0,1639
1591,0,1640
1586,0,1641
1582,0,1642
1579,0,1643
1579,0,1644
1579,0,1645
1581,0,1646
1584,0,1647
1587,0,1648
1590,0,1649
1591,0,1650
1592,0,1651
1591,1,1652
1589,0,1653
1587,0,1654
1585,0,1655
1584,0,1656
1584,0,1657
1585,0,1658
1587,0,1659
1590,0,1660
1591,0,1661
1592,0,1662
1591,1,1663
1590,0,1664
1588,0,1665
1587,0,1666
1587,0,1667
1587,0,1668
1588,0,1669
1587,1,1670
1585,0,1671
1580,0,1672
1571,0,1673
1560,0,1674
1549,0,1675
1541,0,1676
1542,0,1677
1558,0,1678
1594,0,1679
1654,0,1680
1738,0,1681
1842,0,1682
1960,0,1683
2080,0,1684
2189,0,1685
2274,0,1686
2326,0,1687
2338,0,1688
2306,1,1689
2233,0,1690
2124,0,1691
1986,0,1692
1825,0,1693
1652,0,1694
1475,0,1695
1303,0,1696
1148,0,1697
1017,0,1698
919,0,1699
860,0,1700
842,0,1701
860,0,1702
909,0,1703
978,0,1704
1055,0,1705
1131,0,1706
1197,0,1707
1249,0,1708
1289,0,1709
1318,0,1710
1342,0,1711
1367,0,1712
1395,0,1713
1428,0,1714
1467,0,1715
1510,0,1716
1553,0,1717
1593,0,1718
1629,0,1719
1658,0,1720
1680,0,1721
1694,0,1722
1702,0,1723
1705,0,1724
1705,0,1725
1703,0,1726
1700,0,1727
1696,0,1728
1694,0,1729
1692,0,1730
1691,0,1731
1691,0,1732
1691,0,1733
1692,0,1734
1692,0,1735
1693,0,1736
1693,0,1737
1694,0,1738
1694,0,1739
1694,0,1740
1695,0,1741
1695,0,1742
1695,0,1743
1696,0,1744
1697,0,1745
1699,0,1746
1700,0,1747
1702,0,1748
1702,0,1749
1703,0,1750
1702,1,1751
1701,0,1752
1699,0,1753
1697,0,1754
1696,0,1755
1696,0,1756
1697,0,1757
1698,0,1758
1701,0,1759
1703,0,1760
1705,0,1761
1707,0,1762
1709,0,1763
1710,0,1764
1711,0,1765
1712,0,1766
1712,0,1767
1712,0,1768
1713,0,1769
1713,0,1770
1715,0,1771
1717,0,1772
1719,0,1773
1722,0,1774
1725,0,1775
1727,0,1776
1728,0,1777
1729,0,1778
1729,0,1779
1728,0,1780
1728,0,1781
1729,0,1782
1730,0,1783
1732,0,1784
1734,0,1785
1737,0,1786
1740,0,1787
1743,0,1788
1746,0,1789
1749,0,1790
1751,0,1791
1752,0,1792
1753,0,1793
1753,0,1794
1754,0,1795
1754,0,1796
1756,0,1797
1758,0,1798
1761,0,1799
1764,0,1800
1768,0,1801
1771,0,1802
1773,0,1803
1774,0,1804
1775,0,1805
1774,1,1806
1772,0,1807
1770,0,1808
1768,0,1809
1765,0,1810
1763,0,1811
1761,0,1812
1760,0,1813
1759,0,1814
1758,0,1815
1758,0,1816
1758,0,1817
1757,0,1818
1756,0,1819
1755,0,1820
1753,0,1821
1750,0,1822
1745,0,1823
1740,0,1824
1733,0,1825
1725,0,1826
1717,0,1827
1710,0,1828
1703,0,1829
1698,0,1830
1693,0,1831
1688,0,1832
1682,0,1833
1675,0,1834
1667,0,1835
1656,0,1836
1644,0,1837
1631,0,1838
1618,0,1839
1606,0,1840
1594,0,1841
1583,0,1842
1573,0,1843
1563,0,1844
1554,0,1845
1545,0,1846
1538,0,1847
1531,0,1848
1525,0,1849
1520,0,1850
1516,0,1851
1512,0,1852
1508,0,1853
1505,0,1854
1502,0,1855
1500,0,1856
1498,0,1857
1496,0,1858
1494,0,1859
1493,0,1860
1492,0,1861
1491,0,1862
1491,0,1863
1491,0,1864
1492,0,1865
1493,0,1866
1495,0,1867
1497,0,1868
1500,0,1869
1502,0,1870
1504,0,1871
1505,0,1872
