FIR_BP_sample,Moving_Averaged_sample,Deriv_sample,peak,sample_number
1808,20,-4,0,1082
1810,19,-4,0,1083
1812,18,-4,0,1084
1813,17,-4,0,1085
1812,16,-4,0,1086
1812,15,-4,0,1087
1811,14,-4,0,1088
1810,14,-4,0,1089
1811,13,-4,0,1090
1812,13,-4,0,1091
1814,13,-4,0,1092
1815,13,-4,0,1093
1817,13,-4,0,1094
1816,14,-4,0,1095
1813,14,-4,0,1096
1808,14,-4,0,1097
1801,14,-4,0,1098
1793,14,-4,0,1099
1784,14,-4,0,1100
1775,14,-4,0,1101
1767,14,-4,0,1102
1761,14,-4,0,1103
1757,14,-4,0,1104
1753,14,-3,0,1105
1748,14,-3,0,1106
1743,14,-2,0,1107
1737,14,-2,0,1108
1728,14,-2,0,1109
1718,14,-2,0,1110
1706,14,-2,0,1111
1694,14,-2,0,1112
1681,14,-2,0,1113
1667,14,-2,0,1114
1654,14,-2,0,1115
1640,14,-2,0,1116
1627,14,-2,0,1117
1614,14,-3,0,1118
1601,13,-3,0,1119
1589,13,-3,0,1120
1577,13,-3,0,1121
1567,13,-4,0,1122
1557,13,-4,0,1123
1549,13,-4,0,1124
1542,12,-4,0,1125
1535,12,-4,0,1126
1529,12,-4,0,1127
1523,11,-4,0,1128
1518,11,-4,0,1129
1513,10,-4,0,1130
1508,10,-4,0,1131
1504,9,-4,0,1132
1501,9,-4,0,1133
1498,8,-4,0,1134
1496,8,-4,0,1135
1495,7,-5,0,1136
1495,7,-5,0,1137
1495,7,-5,0,1138
1495,6,-5,0,1139
1495,6,-5,0,1140
1495,5,-5,0,1141
1495,5,-5,0,1142
1496,4,-5,0,1143
1497,4,-5,0,1144
1498,4,-5,0,1145
1501,4,-5,0,1146
1505,4,-5,0,1147
1509,4,-5,0,1148
1513,4,-5,0,1149
1517,4,-5,0,1150
1519,4,-5,0,1151
1521,4,-5,0,1152
1521,3,-4,0,1153
1520,3,-4,0,1154
1517,3,-4,0,1155
1514,3,-4,0,1156
1511,3,-4,0,1157
1509,2,-4,0,1158
1507,2,-3,0,1159
1507,2,-3,0,1160
1508,2,-3,0,1161
